t,x,y
7.585,8.056E-3,-1.660E-3
7.589,,
7.592,,
7.596,,
7.600,,
7.604,7.999E-3,-1.472E-3
7.607,,
7.611,,
7.615,,
7.618,,
7.622,7.999E-3,-1.322E-3
7.626,,
7.629,,
7.633,,
7.637,,
7.641,8.009E-3,-1.200E-3
7.644,,
7.648,,
7.652,,
7.655,,
7.659,8.009E-3,-1.060E-3
7.663,,
7.667,,
7.670,,
7.674,,
7.678,8.009E-3,-9.847E-4
7.681,,
7.685,,
7.689,,
7.693,,
7.696,8.009E-3,-8.909E-4
7.700,,
7.704,,
7.707,,
7.711,,
7.715,7.727E-3,-7.127E-4
7.718,,
7.722,,
7.726,,
7.730,,
7.733,7.737E-3,-5.345E-4
7.737,,
7.741,,
7.744,,
7.748,,
7.752,7.718E-3,-4.876E-4
7.756,,
7.759,,
7.763,,
7.767,,
7.770,7.830E-3,-4.220E-4
7.774,,
7.778,,
7.782,,
7.785,,
7.789,7.915E-3,-1.782E-4
7.793,,
7.796,,
7.800,,
7.804,,
7.807,7.896E-3,-1.876E-4
7.811,,
7.815,,
7.819,,
7.822,,
7.826,7.896E-3,-2.251E-4
7.830,,
7.833,,
7.837,,
7.841,,
7.845,7.879E-3,-3.117E-4
7.848,,
7.852,,
7.856,,
7.859,,
7.863,7.879E-3,-9.948E-5
7.867,,
7.871,,
7.874,,
7.878,,
7.882,7.826E-3,2.321E-4
7.885,,
7.889,,
7.893,,
7.897,,
7.900,7.826E-3,4.974E-4
7.904,,
7.908,,
7.911,,
7.915,,
7.919,7.865E-3,7.229E-4
7.922,,
7.926,,
7.930,,
7.934,,
7.937,7.865E-3,9.484E-4
7.941,,
7.945,,
7.948,,
7.952,,
7.956,7.865E-3,1.041E-3
7.960,,
7.963,,
7.967,,
7.971,,
7.974,7.865E-3,1.081E-3
7.978,,
7.982,,
7.986,,
7.989,,
7.993,7.879E-3,1.187E-3
7.997,,
8.000,,
8.004,,
8.008,,
8.011,7.892E-3,1.240E-3
8.015,,
8.019,,
8.023,,
8.026,,
8.030,7.839E-3,1.399E-3
8.034,,
8.037,,
8.041,,
8.045,,
8.049,7.826E-3,1.505E-3
8.052,,
