t,x,y,a,p
11.672,0.219,-8.148E-3,0.616,0.491
11.675,,,,
11.679,,,,
11.683,,,,
11.687,,,,
11.690,0.219,-1.840E-3,1.155,0.208
11.694,,,,
11.698,,,,
11.701,,,,
11.705,,,,
11.709,0.219,4.469E-3,1.573,0.174
11.713,,,,
11.716,,,,
11.720,,,,
11.724,,,,
11.728,0.218,1.078E-2,2.717,0.228
11.731,,,,
11.735,,,,
11.739,,,,
11.742,,,,
11.746,0.217,1.393E-2,5.400,0.160
11.750,,,,
11.754,,,,
11.757,,,,
11.761,,,,
11.765,0.217,1.551E-2,2.814,8.846E-2
11.768,,,,
11.772,,,,
11.776,,,,
11.780,,,,
11.783,0.217,1.656E-2,7.553,8.674E-2
11.787,,,,
11.791,,,,
11.795,,,,
11.798,,,,
11.802,0.217,1.814E-2,12.17,0.295
11.806,,,,
11.809,,,,
11.813,,,,
11.817,,,,
11.821,0.217,2.550E-2,4.303,0.504
11.824,,,,
11.828,,,,
11.832,,,,
11.835,,,,
11.839,0.216,3.338E-2,0.654,0.418
11.843,,,,
11.847,,,,
11.850,,,,
11.854,,,,
11.858,0.216,3.811E-2,1.668,0.434
11.862,,,,
11.865,,,,
11.869,,,,
11.873,,,,
11.876,0.216,4.653E-2,8.126,0.435
11.880,,,,
11.884,,,,
11.888,,,,
11.891,,,,
11.895,0.215,5.126E-2,17.16,0.260
11.899,,,,
11.903,,,,
11.906,,,,
11.910,,,,
11.914,0.211,5.283E-2,3.539,0.171
11.917,,,,
11.921,,,,
11.925,,,,
11.929,,,,
11.932,0.211,4.915E-2,8.587,7.153E-2
11.936,,,,
11.940,,,,
11.943,,,,
11.947,,,,
11.951,0.211,5.494E-2,2.341,0.260
11.955,,,,
11.958,,,,
11.962,,,,
11.966,,,,
11.970,0.211,5.704E-2,4.208,6.939E-2
11.973,,,,
11.977,,,,
11.981,,,,
11.984,,,,
11.988,0.211,5.809E-2,0.468,4.769E-2
11.992,,,,
11.996,,,,
11.999,,,,
12.003,,,,
12.007,0.210,5.914E-2,0.193,8.846E-2
12.010,,,,
12.014,,,,
12.018,,,,
12.022,,,,
12.025,0.210,6.072E-2,4.519,5.421E-2
12.029,,,,
12.033,,,,
12.037,,,,
12.040,,,,
12.044,0.210,6.177E-2,8.132,0.177
12.048,,,,
12.051,,,,
12.055,,,,
12.059,,,,
12.063,0.208,6.913E-2,10.07,0.555
12.066,,,,
12.070,,,,
12.074,,,,
12.077,,,,
12.081,0.209,7.859E-2,2.698,0.763
12.085,,,,
12.089,,,,
12.092,,,,
12.096,,,,
12.100,0.208,9.226E-2,11.80,0.559
12.104,,,,
12.107,,,,
12.111,,,,
12.115,,,,
12.118,0.207,9.542E-2,10.08,0.278
12.122,,,,
12.126,,,,
12.130,,,,
12.133,,,,
12.137,0.208,0.101,3.730,0.330
12.141,,,,
12.145,,,,
12.148,,,,
12.152,,,,
12.156,0.208,0.105,4.830,0.368
12.159,,,,
12.163,,,,
12.167,,,,
12.171,,,,
12.174,0.206,0.112,1.795,0.253
12.178,,,,
12.182,,,,
12.185,,,,
12.189,,,,
12.193,0.206,0.113,2.130,0.114
12.197,,,,
12.200,,,,
12.204,,,,
12.208,,,,
12.212,0.205,0.117,5.412,0.188
12.215,,,,
12.219,,,,
12.223,,,,
12.226,,,,
12.230,0.204,0.127,1.538,0.385
12.234,,,,
12.238,,,,
12.241,,,,
12.245,,,,
12.249,0.207,0.140,3.592,0.646
12.252,,,,
12.256,,,,
12.260,,,,
12.264,,,,
12.267,0.206,0.147,6.006,0.451
12.271,,,,
12.275,,,,
12.279,,,,
12.282,,,,
12.286,0.207,0.153,3.222,0.486
12.290,,,,
12.293,,,,
12.297,,,,
12.301,,,,
12.305,0.207,0.162,2.671,0.454
12.308,,,,
12.312,,,,
12.316,,,,
12.319,,,,
12.323,0.208,0.167,1.113,0.215
12.327,,,,
12.331,,,,
12.334,,,,
12.338,,,,
12.342,0.211,0.193,5.801,0.215
12.346,,,,
12.349,,,,
12.353,,,,
12.357,,,,
12.360,0.213,0.199,1.007,1.258
12.364,,,,
12.368,,,,
12.372,,,,
12.375,,,,
12.379,0.209,0.270,0.919,0.433
12.383,,,,
12.387,,,,
12.390,,,,
12.394,,,,
12.398,0.205,0.290,2.657,
12.401,,,,
12.405,,,,
12.409,,,,
12.413,,,,
12.416,0.208,0.296,,


