t,x,y
1.279,,
1.283,,
1.286,0.127,-0.196
1.290,,
1.294,,
1.297,,
1.301,,
1.304,0.127,-0.191
1.308,,
1.311,,
1.315,,
1.319,,
1.322,0.127,-0.191
1.326,,
1.329,,
1.333,,
1.336,,
1.340,0.127,-0.191
1.344,,
1.347,,
1.351,,
1.354,,
1.358,0.127,-0.186
1.361,,
1.365,,
1.369,,
1.372,,
1.376,0.127,-0.185
1.379,,
1.383,,
1.386,,
1.390,,
1.394,0.128,-0.181
1.397,,
1.401,,
1.404,,
1.408,,
1.411,0.129,-0.177
1.415,,
1.419,,
1.422,,
1.426,,
1.429,0.129,-0.174
1.433,,
1.436,,
1.440,,
1.444,,
1.447,0.130,-0.170
1.451,,
1.454,,
1.458,,
1.461,,
1.465,0.130,-0.169
1.469,,
1.472,,
1.476,,
1.479,,
1.483,0.130,-0.162
1.486,,
1.490,,
1.494,,
1.497,,
1.501,0.132,-0.158
1.504,,
1.508,,
1.511,,
1.515,,
1.519,0.124,-0.147
1.522,,
1.526,,
1.529,,
1.533,,
1.537,0.124,-0.146
1.540,,
1.544,,
1.547,,
1.551,,
1.554,0.126,-0.138
1.558,,
1.562,,
1.565,,
1.569,,
1.572,0.126,-0.138
1.576,,
1.579,,
1.583,,
1.587,,
1.590,0.128,-0.134
1.594,,
1.597,,
1.601,,
1.604,,
1.608,0.131,-0.127
1.612,,
1.615,,
1.619,,
1.622,,
1.626,0.132,-0.118
1.629,,
1.633,,
1.637,,
1.640,,
1.644,0.132,-0.112
1.647,,
1.651,,
1.654,,
1.658,,
1.662,0.134,-0.105
1.665,,
1.669,,
1.672,,
1.676,,
1.679,0.134,-0.102
1.683,,
1.687,,
1.690,,
1.694,,
1.697,0.134,-9.818E-2
1.701,,
1.704,,
1.708,,
1.712,,
1.715,0.131,-9.305E-2
1.719,,
1.722,,
1.726,,
1.729,,
1.733,0.131,-8.645E-2
1.737,,
1.740,,
1.744,,
1.747,,
1.751,0.131,-8.206E-2
1.754,,
1.758,,
1.762,,
1.765,,
1.769,0.131,-7.766E-2
1.772,,
1.776,,
1.779,,
1.783,,
1.787,0.132,-7.253E-2
1.790,,
1.794,,
1.797,,
1.801,,
1.805,0.132,-6.887E-2
1.808,,
1.812,,
1.815,,
1.819,,
1.822,0.134,-5.861E-2
1.826,,
1.830,,
1.833,,
1.837,,
1.840,0.134,-5.642E-2
1.844,,
1.847,,
1.851,,
1.855,,
1.858,0.134,-5.422E-2
1.862,,
1.865,,
1.869,,
1.872,,
1.876,0.137,-4.249E-2
1.880,,
1.883,,
1.887,,
1.890,,
1.894,0.136,-3.004E-2
1.897,,
1.901,,
1.905,,
1.908,,
1.912,0.136,-2.271E-2
1.915,,
1.919,,
1.922,,
1.926,,
1.930,0.136,-1.172E-2
1.933,,
1.937,,
1.940,,
1.944,,
1.947,0.136,-2.931E-3
1.951,,
1.955,,
1.958,,
1.962,,
1.965,0.137,2.198E-3
1.969,,
1.972,,
1.976,,
1.980,,
1.983,0.137,4.396E-3
1.987,,
1.990,,
1.994,,
1.997,,
2.001,0.137,7.327E-3
2.005,,
2.008,,
2.012,,
2.015,,
2.019,0.137,9.525E-3
2.022,,
2.026,,
2.030,,
2.033,,
2.037,0.140,1.978E-2
2.040,,
2.044,,
2.047,,
2.051,,
2.055,0.139,3.077E-2
2.058,,
2.062,,
2.065,,
2.069,,
2.073,0.139,3.590E-2
2.076,,
2.080,,
2.083,,
2.087,,
2.090,0.137,4.323E-2
2.094,,
2.098,,
2.101,,
2.105,,
2.108,0.137,4.836E-2
2.112,,
2.115,,
2.119,,
2.123,,
2.126,0.137,5.055E-2
2.130,,
2.133,,
2.137,,
2.140,,
2.144,0.137,5.055E-2
2.148,,
2.151,,
2.155,,
2.158,,
2.162,0.139,6.008E-2
2.165,,
2.169,,
2.173,,
2.176,,
2.180,0.138,6.301E-2
2.183,,
2.187,,
2.190,,
2.194,,
2.198,0.138,6.594E-2
2.201,,
2.205,,
2.208,,
2.212,,
2.215,0.138,6.814E-2
2.219,,
2.223,,
2.226,,
2.230,,
2.233,0.136,7.473E-2
2.237,,
2.240,,
2.244,,
2.248,,
2.251,0.136,8.645E-2
2.255,,
2.258,,
2.262,,
2.265,,
2.269,0.134,9.525E-2
2.273,,
2.276,,
2.280,,
2.283,,
2.287,0.128,0.104
2.290,,
2.294,,
2.298,,
2.301,,
2.305,0.123,0.110
2.308,,
2.312,,
2.315,,
2.319,,
2.323,0.126,0.114
2.326,,
2.330,,
2.333,,
2.337,,
2.341,0.126,0.118
2.344,,
2.348,,
2.351,,
2.355,,
2.358,0.127,0.125
2.362,,
2.366,,
2.369,,
2.373,,
2.376,0.128,0.127
2.380,,
2.383,,
2.387,,
2.391,,
2.394,0.127,0.136
2.398,,
2.401,,
2.405,,
2.408,,
2.412,0.128,0.142
2.416,,
2.419,,
2.423,,
2.426,,
2.430,0.126,0.145
2.433,,
2.437,,
2.441,,
2.444,,
2.448,0.126,0.149
2.451,,
2.455,,
2.458,,
2.462,,
2.466,0.126,0.152
2.469,,
2.473,,
2.476,,
2.480,,
2.483,0.124,0.160
2.487,,
2.491,,
2.494,,
2.498,,
2.501,0.123,0.163
2.505,,
2.508,,
2.512,,
2.516,,
2.519,0.123,0.166
2.523,,
2.526,,
2.530,,
2.533,,
2.537,0.123,0.172
2.541,,
2.544,,
2.548,,
2.551,,
2.555,0.121,0.180
